title,title_stance,title_topic,predicted_topic
Count Dooku Voice Actor Corey Burton Tried Something New on Star Wars: Tales of the Jedi,count dooku voice actor corey burton tried something new on star wars tales of the jedi,count dooku voice actor corey burton tried something new star wars tales jedi,"wars, star, andor"
'Andor' Episode 8 Explained: 'Rogue One' Cameos and a 'Star Wars' Hell Prison - CNET,andor episode 8 explained rogue one cameos and a star wars hell prison,andor episode 8 explained rogue one cameos star wars hell prison,"wars, star, andor"
Andor Gave Us the Gayest Screen Fade in Star Wars History,andor gave us the gayest screen fade in star wars history,andor gave us gayest screen fade star wars history,"wars, star, andor"
"Ahsoka Tano Herself, Ashley Eckstein, Breaks Down Star Wars: Tales of the Jedi",ahsoka tano herself ashley eckstein breaks down star wars tales of the jedi,ahsoka tano ashley eckstein breaks star wars tales jedi,"wars, star, andor"
Star Wars: The Deckbuilding Game could rule the galaxy of 2-player card games,star wars the deckbuilding game could rule the galaxy of 2player card games,star wars deckbuilding game could rule galaxy 2player card games,"wars, star, andor"
There's a new Star Wars project from Damon Lindelof in the works,theres a new star wars project from damon lindelof in the works,theres new star wars project damon lindelof works,"wars, star, andor"
Star Wars Fatigue Shouldn't Stop You From Watching 'Andor' - CNET,star wars fatigue shouldnt stop you from watching andor,star wars fatigue shouldnt stop watching andor,"wars, star, andor"
'Andor' is the best 'Star Wars' show since 'The Mandalorian' — but the least popular,andor is the best star wars show since the mandalorian but the least popular,andor best star wars show since mandalorian least popular,"wars, star, andor"
Star Wars characters take over Mexico City - Reuters,star wars characters take over mexico city,star wars characters take mexico city,"wars, star, andor"
"Alarmed by suicide attack, China and Pakistan join hands in probe - Reuters",alarmed by suicide attack china and pakistan join hands in probe,alarmed suicide attack china pakistan join hands probe,"china, 2hong, yuan"
Death of boy in lockdown fuels backlash against China's zero-Covid policy,death of boy in lockdown fuels backlash against chinas zerocovid policy,death boy lockdown fuels backlash chinas zerocovid policy,"china, 2hong, yuan"
UPDATE 2-Hong Kong stocks tumble as Xi appointments fan economic fears; yuan weakens,update 2hong kong stocks tumble as xi appointments fan economic fears yuan weakens,update 2hong kong stocks tumble xi appointments fan economic fears yuan weakens,"china, 2hong, yuan"
China supports central SOEs to issue tech innovation bonds - Reuters,china supports central soes to issue tech innovation bonds,china supports central soes issue tech innovation bonds,"china, 2hong, yuan"
World Cup: FIFA head comments on beer ban - CP24,world cup fifa head comments on beer ban cp24,world cup fifa head comments beer ban cp24,"cup, world, netherlands"
T20 World Cup: Bangladesh bowlers impress to secure victory over Netherlands,t20 world cup bangladesh bowlers impress to secure victory over netherlands,t20 world cup bangladesh bowlers impress secure victory netherlands,"cup, world, netherlands"
Canada's goalkeeper Crepeau to miss World Cup with broken leg - Reuters,canadas goalkeeper crepeau to miss world cup with broken leg,canadas goalkeeper crepeau miss world cup broken leg,"cup, world, netherlands"
World Cup stadium alcohol ban emblematic of contradictions,world cup stadium alcohol ban emblematic of contradictions,world cup stadium alcohol ban emblematic contradictions,"cup, world, netherlands"
T20 World Cup: Pakistan beat Netherlands to avoid elimination,t20 world cup pakistan beat netherlands to avoid elimination,t20 world cup pakistan beat netherlands avoid elimination,"cup, world, netherlands"
Ukraine war: Wagner chief Prigozhin defends brutal killing video,ukraine war wagner chief prigozhin defends brutal killing video,ukraine war wagner chief prigozhin defends brutal killing video,"ukraine, war, bomb"
"Chance for peace in Ukraine, says France's Macron - Reuters",chance for peace in ukraine says frances macron,chance peace ukraine says frances macron,"ukraine, war, bomb"
Ukraine nuclear agency thickens alleged dirty bomb plot - CTV News,ukraine nuclear agency thickens alleged dirty bomb plot ctv news,ukraine nuclear agency thickens alleged dirty bomb plot ctv news,"ukraine, war, bomb"
Ukraine war round-up: Missile blast in Poland and Zambian family's grief,ukraine war roundup missile blast in poland and zambian familys grief,ukraine war roundup missile blast poland zambian familys grief,"ukraine, war, bomb"
Ukraine round-up: Refugees urged to stay away and 'dirty bomb' claims,ukraine roundup refugees urged to stay away and dirty bomb claims,ukraine roundup refugees urged stay away dirty bomb claims,"ukraine, war, bomb"
Russia says Ukraine hands over 50 prisoners of war - Reuters.com,russia says ukraine hands over 50 prisoners of war,russia says ukraine hands 50 prisoners war,"ukraine, war, bomb"
