post,new_topic,label
"Regulation of corporations has been subverted by corporations. States that incorporate corporations are not equipped to regulate corporations that are rich enough to influence elections, are rich enough to muster a legal team that can bankrupt the state. Money from corporations and their principals cannot be permitted in the political process if democracy is to survive.",regulation,0
"Absolutely it's needs to be defined and regulated in its use, as currently the word 'natural' when used on food products is totally confusing and meaningless. Clearly they are trying to imply the item is 'healthy' or possibly 'organic', but when you see food 'manufacturers' like Frito-Lay or Campbell's with products labelled 'natural', that alone should set off alarms that all is not what it seems. ;-)",healthy,1
"""...one must ask how much money they must make to demonstrate that they are among the best managed companies on the planet."" They must make enough money to insure that they can never fail and threaten the stability of the worlds economy again. That much money.",the economy,0
"The whole media mess surrounding the royals is a consequence of the promotional fervor with which royal households (aka, public relations experts) developed stage-set performances for the public to devour. Prior to the Victorian era, those elaborate and lethally expensive weddings, coronations, and funerals - and the fairy tales that went along with them - just didn't exist.",the royals,1
"Violence is inherent in the sex industry only in the same way that criminality is inherent in business in Russia. All private business in Russia was illegal under communism, so when communism fell, the first and strongest entrants were people from criminal backgrounds who had already been engaging in it illegally. They have not yet lost control; not enough time has passed. Similarly, because prostitution has been illegal in many places, even where it has become legal, there is a tendency for it to initially be dominated by the sometimes violent pimps who prevailed when it was illegal. As time passes, in large areas where it is fully legal, it will become less dominated by the criminal element and less violent (although it will never cease to be unpleasant in other ways).",prostituion,1
"Red Aurebach was asked about raising the rim to neutralize some of the putative advantage held by taller players. He said, I think correctly, that raising the rim would increase that advantage, not decrease it. Are you advocating raising the rim only in the NBA? Should Division I programs also follow suit. Surely high school players would not want the rim raised, many of them short and land locked. And how many players in the NBA cannot dunk? Nobody would be my guess. You want to neutralize the advantage of taller player? Box out. You want to bring back the mid range jumper? Get rid of the 3 point shot. I disagree with you Mr. Monroe, but I loved that spin move (even though I think you traveled a lot of the time cupping the ball).",rim,0
"This is a horrible idea. Anyone who has worked on the border, or in Mexico (as I do), knows there are plenty of middle and upper-class Mexicans who come to the U.S. for an education. I think Dr. Lee is really perpetuating stereotypes here. In my opinion, affirmative action should be based on economic class, no matter what the race.",affirmative actions,1
"Perhaps the government should start by rating K-12 schools. Identify the myriad failing public schools -- how hard should that be? And then, give these students vouchers to give them a shot at a meaningful K-12 education, Improve K--12 education first, and then worry about the colleges.",education,1
"Two of the main reasons people switch to cannabis from pharmaceuticals and other drugs such as alcohol: less side-effects and less withdrawal: ""Over 41% state that they use cannabis as a substitute for alcohol, 36.1% use cannabis as a substitute for illicit substances, and 67.8% use cannabis as a substitute for prescription drugs. The three main reasons cited for cannabis-related substitution are 'less withdrawal' (67.7%), 'fewer side-effects' (60.4%), and 'better symptom management' suggesting that many patients may have already identified cannabis as an effective and potentially safer adjunct or alternative to their prescription drug regimen."" [Lucas et al. Cannabis as a substitute for alcohol and other drugs: A dispensary-based survey of substitution effect in Canadian medical cannabis patients. Addiction Research & Theory. 2013]",cannabis,1
"I have two serious issues with plug-in cars, local and national. Locally, NH has the highest electric rates in the country (thanks, Seabrook). Nationally, plugging in is a huge waste of energy. To get a gallon of gas worth of electricity out of a wall socket, we need to put at least three gallons into the generator. Every time energy changes state, there is a loss: fuel to heat, heat to steam, steam to mechanical energy, mechanical to electrical, and in the car, electrical to battery, battery to mechanical, mechanical to tires, tires to motion. Add that to transmission losses, and you end up with a lot of waste instead of savings. Plug-in cars will add to the problem, not solve it.",electric rates,0
"There is currently a glut of qualified teachers. Why are we taxpayers paying millions of dollars for TFA and, here in NYC, NYC Teaching Fellows, et al while other grad students like myself are struggling to get through paying our own way and facing more and more miserable job prospects?? Why should I (and laid off teachers) have to compete with govt-sponsored, less-qualified drones who are hand-picked for their willingness to follow blindly if not for the fact that they water down the labor force in a period when the government is trying to undercut and underfund US education?",tfa,0
"Ms Ramos don't adult women have the right to decide what they do or do not want to do ? Isn't it equally coercive to restrict their freedom ? I also question the realism of your argument. AFAIK, prostitution seems to be a major sector of every known human society, in societys with strict penaltys (even death) and in societys where it is legal Isn't crimminlization like prohibition - something doomed to failure, as banning prostitution is like banning alcohol, or other drugs, perhaps desirable, but doomed to fail because it goes against human nature ? I think you are also confusing social class with prostitution; much prostituion is unpleasant because it is around poverty, just as coal mining is unpleasant.",prostituion,1
"The best way to spur economic growth is to eliminate taxes all together. That way, we get things like roads, schools, security, and healthcare for free, and the money saved will provide a big stimulus to the economy. Something for nothing; it is a beautiful American story, isn't it?",economic growth,0
"Good idea. I have always had a cat or two. While being inhumane, declawing places a cat in danger. Should my charming indoor kitty somehow escape outside, he would have no way to defend himself. Why don't humans have their finger-and tonails removed to save on manicures? Answer: they are important to the functioning and protection of our bodies.",your cat,1
"One's own, and learning another language is important and a great work out for the brain! Back in the day, I learned Spanish! In retrospect Latin would have been the better way to go, since mastery of that makes learning the languages like French, Italian, Portuguese, Romanian, and Spanish, very much easier to learn! I would recommend it, But it's 2016, and let's face it, if you lived in southern Brooklyn today, Russian, Ukrainian, Cantonese, Arabic, and Ghetto Yiddish is the way to go! However, if one lives in the United States as a whole, circa 2016, Mandarin, has got to be the way to go! Who knew?!!! Nixon's The One.",language,1
"DR Ballantyne- Sydenhams views no longer apply to modern medicine- we have treatments now- like platelet rich plasma, LENS neurofeedback, stem cell therapy, German new medicine, neural prolotherapy, oxidized ATP, MitoQ, ESWT, acupotomy- that you and your colleagues need to learn to help people in pain. No doubt the overuse of opioids has stemmed from the moral laziness of doctors when it came to offer the right care for people in pain. Doctors and medicine is still remiss in developing and deploying good treatment for pain. And training based on the little that pain specialists know and do will be of too little help to people in pain. Its time for Ballantyne to call for raising standards of care for all involved in pain care. And lets not maketoo much out of past treatments for the prevalence of pain is on the rise.",modern medicine,1
"I was a library aide in elementary school, for Mrs Archer, who treated both books and people with respect. I still have the dictionary she gave me at the end of sixth grade, when I moved up to junior high school, and another library. Mrs Archer and Mrs DeVoll, who ran the public library branch in my neighborhood, were both a huge part of my life as a child -- I am incredibly grateful to them and to all their colleagues, and am thrilled to have this chance to recognize them here, among their peers.",library,1
