title,savedAt,query,language,articleURL
Lost co-creator Damon Lindelof is latest filmmaker said to be developing new Star Wars film,2022-11-03T11:25:45.429Z,Star Wars,,https://www.theverge.com/2022/10/24/23420191/star-wars-film-development-lost-damon-lindelof-sharmeen-obaid-chinoy
Count Dooku Voice Actor Corey Burton Tried Something New on Star Wars: Tales of the Jedi,2022-11-03T11:25:45.429Z,Star Wars,,https://gizmodo.com/star-wars-tales-of-jedi-count-dooku-corey-burton-interv-1849730313
"Hell Yeah, Andor's Cool, Casually Queer Women",2022-11-03T11:25:45.429Z,Star Wars,,https://gizmodo.com/star-wars-andor-vel-citra-lgbtq-disney-plus-lucasfilm-1849627036
"The latest 'Fortnite' Star Wars characters are Luke, Leia and Han",2022-11-03T11:25:45.429Z,Star Wars,,https://www.engadget.com/fortnite-star-wars-luke-leia-han-solo-162023840.html
More Updates on Damon Lindelof's Mysterious Star Wars Movie,2022-11-03T11:25:45.429Z,Star Wars,,https://gizmodo.com/damon-lindelof-star-wars-movie-plot-rise-of-skywalker-1849697338
There's Still Hope for Rian Johnson's Star Wars Trilogy,2022-11-03T11:25:45.429Z,Star Wars,,https://gizmodo.com/rian-johnson-star-wars-trilogy-kathleen-kennedy-1849664490
"Ahsoka Tano Herself, Ashley Eckstein, Breaks Down Star Wars: Tales of the Jedi",2022-11-03T11:25:45.429Z,Star Wars,,https://gizmodo.com/star-wars-tales-of-the-jedi-ashley-eckstein-ahsoka-tano-1849724214
'Andor' is the best 'Star Wars' show since 'The Mandalorian' — but the least popular,2022-11-03T11:25:45.429Z,Star Wars,,https://www.businessinsider.com/andor-awards-potential-but-trailing-popular-other-star-wars-shows-2022-10
Harrison Ford is the next big actor joining the Marvel Cinematic Universe,2022-11-03T11:25:45.429Z,Star Wars,,https://www.theverge.com/2022/10/17/23409123/harrison-ford-marvel-cinematic-universe-captain-america-general-ross
Here's Why the New Doctors and Tom Baker Weren't in the Last Doctor Who Special,2022-11-03T11:25:45.429Z,Star Wars,,https://gizmodo.com/doctor-who-jodie-whittaker-david-tennant-tom-baker-1849704331
Star Wars characters take over Mexico City - Reuters,2022-11-03T11:25:45.429Z,Star Wars,,https://www.reuters.com/video/watch/idOV268917102022RP1
How ‘The Mandalorian’ Inspired One of the Year’s Best Rap Videos,2022-11-03T11:25:45.429Z,Star Wars,,https://www.wired.com/story/denzel-curry-x-wing-star-wars/
"A Guide to House of the Dragons’ Many, Many Dragons",2022-11-03T11:25:45.429Z,Star Wars,,https://gizmodo.com/house-of-the-dragons-game-of-thrones-vhagar-arrax-1849710928
Avengers: Secret Wars Enlists a Familiar Marvel Writer,2022-11-03T11:25:45.429Z,Star Wars,,https://gizmodo.com/marvel-avengers-secret-wars-writer-loki-dr-strange-1849609384
Andor Gives Everyone a Reason for Rebellion,2022-11-03T11:25:45.429Z,Star Wars,,https://gizmodo.com/andor-episode-5-recap-star-wars-diego-luna-1849617903
That [Redacted] Rings of Power Star Talks About That [Redacted] Twist,2022-11-03T11:25:45.429Z,Star Wars,,https://gizmodo.com/rings-of-power-finale-twist-lord-of-the-rings-1849660044
'Superman' and superstar memorabilia worth 11 million pounds up for auction - Reuters,2022-11-03T11:25:45.429Z,Star Wars,,https://www.reuters.com/lifestyle/superman-superstar-memorabilia-worth-11-million-pounds-up-auction-2022-10-03/
You May Remember This Week's Toys From Such Films As...,2022-11-03T11:25:45.429Z,Star Wars,,https://gizmodo.com/you-may-remember-this-weeks-toys-from-such-films-as-1849706186
Star Wars' Inquisitor Spotlight Continues with Rise of the Red Blade Novel,2022-11-03T11:25:45.429Z,Star Wars,,https://gizmodo.com/star-wars-rise-of-red-blade-inquisitor-novel-nycc-1849635963
A Key Moment for King Viserys on Last Night's House of the Dragon Was Improvised,2022-11-03T11:25:45.429Z,Star Wars,,https://gizmodo.com/house-of-the-dragons-targaryen-crown-matt-smith-daemon-1849639987
Emily Watson and Shirley Henderson to Star as Harkonnen Siblings in Sisterhood of Dune,2022-11-03T11:25:45.429Z,Star Wars,,https://gizmodo.com/hbo-sisterhood-of-dune-emily-watson-shirley-henderson-1849616398
